"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "TypeScript JSX", "Markdown", "YAML", "XML", "SCSS", "TypeScript", "CSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\.env", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\work\programming228\web\game-tensor\.eslintrc.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 61
"d:\work\programming228\web\game-tensor\.github\workflows\production.yml", "YAML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"d:\work\programming228\web\game-tensor\.prettierrc", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\work\programming228\web\game-tensor\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 16, 42
"d:\work\programming228\web\game-tensor\next.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"d:\work\programming228\web\game-tensor\package-lock.json", "JSON", 0, 11046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11047
"d:\work\programming228\web\game-tensor\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\work\programming228\web\game-tensor\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\work\programming228\web\game-tensor\src\components\CardAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\work\programming228\web\game-tensor\src\components\CardTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\work\programming228\web\game-tensor\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"d:\work\programming228\web\game-tensor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 2, 5, 185
"d:\work\programming228\web\game-tensor\src\components\Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 2, 4, 79
"d:\work\programming228\web\game-tensor\src\helper\Types\game.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
"d:\work\programming228\web\game-tensor\src\layouts\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\work\programming228\web\game-tensor\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\work\programming228\web\game-tensor\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\work\programming228\web\game-tensor\src\pages\id.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 4, 98
"d:\work\programming228\web\game-tensor\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 13, 3, 102
"d:\work\programming228\web\game-tensor\src\store\ads\adsSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\ads\adsSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 7, 51
"d:\work\programming228\web\game-tensor\src\store\ads\adsThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\work\programming228\web\game-tensor\src\store\search\searchSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 7, 51
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 4, 24
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSelector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 7, 51
"d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"d:\work\programming228\web\game-tensor\src\styles\CardTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\work\programming228\web\game-tensor\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 7, 149
"d:\work\programming228\web\game-tensor\src\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"d:\work\programming228\web\game-tensor\src\styles\Id.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 3, 92
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 12, 261
"d:\work\programming228\web\game-tensor\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 63, 11108, 22, 2, 584, 26, 21, 2, 402, 276, 249, 33, 133, 12921